CASERNE,NO_CIVIQUE,RUE,LATITUDE,LONGITUDE,ARRONDISSEMENT,VILLE,DATE_DEBUT,DATE_FIN,MTM8_X,MTM8_Y
"56","230","boulevard Chèvremont","45.4936778924068","-73.8764122218112","L'ÎLE-BIZARD-SAINTE-GENEVIÈVE",,2015-01-01T07:00:00,,275380,5039375
"32","16101","rue Sherbrooke Est","45.6970521860186","-73.4923671784932","RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES",,2015-01-01T07:00:00,,305394.4,5061907.6
"59","18661","Boulevard Pierrefonds","45.4587535033342","-73.8977468313299","PIERREFONDS-ROXBORO",,2015-01-01T07:00:00,,273693.3,5035501.9
"08","11371","rue Notre-Dame Est","45.6315496481458","-73.4962548930092",,"MONTRÉAL-EST",2015-01-01T07:00:00,,305092,5054628
"51","550","boulevard des Anciens-Combattants","45.4177791512729","-73.9500159041546",,"SAINTE-ANNE-DE-BELLEVUE",2015-01-01T07:00:00,,269580,5030970
"52","330","rue Surrey","45.4195992334552","-73.9120779086982",,"BAIE-D'URFÉ",2015-01-01T07:00:00,,272550.2,5031156.4
"53","310","Beaurepaire drive","45.4287888241933","-73.868415076878",,"BEACONSFIELD",2015-01-01T07:00:00,,275972,5032161
"54","3048","boulevard Saint-Charles","45.4490928897158","-73.8559930605803",,"KIRKLAND",2015-01-01T07:00:00,,276954,5034413
"55","401","boulevard Saint-Jean","45.447814876512","-73.8163031936823",,"POINTE-CLAIRE",2015-01-01T07:00:00,,280058,5034258
"61","10","rue Sunnydale","45.494039471585","-73.8066461642058",,"DOLLARD-DES-ORMEAUX",2015-01-01T07:00:00,,280833,5039392
"62","150","avenue Avro","45.4741960594848","-73.7865349667563",,"DORVAL",2015-01-01T07:00:00,,282397,5037181
"63","530","boulevard Bouchard","45.4470563250551","-73.7354409386434",,"DORVAL",2019-05-06T07:00:00,,286383,5034152
"74","10","avenue Roosevelt","45.5152676091238","-73.6407797907479",,"MONT-ROYAL",2015-01-01T07:00:00,,293801,5041715
"76","19","rue Stanton","45.4863189887702","-73.5984275366453",,"WESTMOUNT",2015-01-01T07:00:00,,297106,5038493
"77","114","avenue Westminster Nord","45.4537179405426","-73.6480548219311",,"MONTRÉAL-OUEST",2015-01-01T07:00:00,,293220,5034876
"78","6815","chemin Côte-Saint-Luc","45.4679571769958","-73.6521717096539",,"CÔTE-SAINT-LUC",2015-01-01T07:00:00,,292901,5036459
"79","5520","avenue MacDonald","45.483486932873","-73.6393318377964",,"HAMPSTEAD",1900-01-01T07:00:00,2009-11-05T06:59:59,293908,5038183
